"count","category_1","category_2","category_3","category_4"
"130",""," Resolved By Third Party"," "," "
"20","Account Administration"," "," "," "
"13",""," "," "," "
"6","Hardware>Desk Phone>3CX"," "," "," "
"5","Standard Applications>Other (Not Listed)"," "," "," "
"1","Account Administration>Disable Account"," "," "," "
"1","Account Administration>User Termination\Leaver"," "," "," "
"1","Standard Applications>Other (Not Listed)"," Account Administration"," "," "
"1","Account Administration>New Account"," "," "," "
"1","Hardware>Desktop"," "," "," "
"1","Standard Applications>Email"," "," "," "
"1","Hardware>Scanners"," "," "," "
"1","Standard Applications>Other (Not Listed)"," Configuration Setting"," "," "
"1","Business Applications"," "," "," "
